step,loss,gradient_norm,update_norm,accepted
1,0.005725156532655916,0.02419569205997341,0.5590458942568103,1
2,0.004562366736773182,0.0013793771018976559,0.3748262207726846,1
3,0.00456236669103612,0.0,0.28959155324143315,1
4,0.00456236669103612,0.0,0.23711321317831519,1
5,0.00456236669103612,0.0,0.20033907606270163,1
6,0.00456236669103612,0.0,0.1726079032125873,1
7,0.00456236669103612,0.0,0.15069259121343645,1
8,0.00456236669103612,0.0,0.1328065950013031,1
9,0.00456236669103612,0.0,0.11786571992276201,1
10,0.00456236669103612,0.0,0.10516604006310203,1
11,0.00456236669103612,0.0,0.09422614991513262,1
12,0.00456236669103612,0.0,0.08470292499566776,1
13,0.00456236669103612,0.0,0.07634340272830889,1
14,0.00456236669103612,0.0,0.06895576888007647,1
15,0.00456236669103612,0.0,0.06239106919866416,1
16,0.00456236669103612,0.0,0.056531244944348726,1
17,0.00456236669103612,0.0,0.05128105433684276,1
18,0.00456236669103612,0.0,0.046562467371207936,1
19,0.00456236669103612,0.0,0.0,1
