step,loss,gradient_norm,update_norm,accepted
0,0.026241622913402696,nan,0.0,1
1,0.026241622913402696,nan,0.0,0
2,0.026103269389055044,nan,0.20395260588234432,1
3,0.026103269389055044,nan,0.0,0
4,0.02588764056662675,nan,0.20860847594063306,1
5,0.02588764056662675,nan,0.0,0
6,0.02588764056662675,nan,0.0,0
7,0.02588764056662675,nan,0.0,0
8,0.025409040497954206,nan,0.16154157300762992,1
9,0.025409040497954206,nan,0.0,0
10,0.025409040497954206,nan,0.0,0
11,0.025409040497954206,nan,0.0,0
12,0.025409040497954206,nan,0.0,0
13,0.02538973786350371,nan,0.09830210382287756,1
14,0.02538973786350371,nan,0.0,0
15,0.025355545660658733,nan,0.08293925168863146,1
16,0.025355545660658733,nan,0.0,0
17,0.025243926348786198,nan,0.08907112673851587,1
18,0.0246598276441173,nan,0.06784794624350927,1
19,0.0246598276441173,nan,0.0,0
20,0.024573672913764416,nan,0.05030462994323484,1
21,0.024573672913764416,nan,0.0,0
22,0.024573672913764416,nan,0.0,0
23,0.024567352104662432,nan,0.022192598719910403,1
24,0.024539885890101424,nan,0.009698481236856243,1
