step,loss,gradient_norm,update_norm,accepted
1,0.023440808574279715,0.0020643035630125324,0.45221990148364444,1
2,0.023413744412478163,0.002952368686369563,0.2988928347537928,1
3,0.02336134929876278,0.0019037086028484721,0.23205598130426658,1
4,0.02331558283011649,0.00025351888735269983,0.22643875588594828,1
5,0.02330292528971674,0.0014687474596218205,0.24073798849920286,1
6,0.02323993101130645,0.0004187848968233682,0.26324890336204887,1
7,0.023208135464799287,0.0006244689754049033,0.2538315264787467,1
8,0.02319938951835899,0.0006885001112837914,0.24025920522247401,1
9,0.02318118074541866,0.0004633983340587376,0.24541558093715965,1
10,0.02314373213398144,0.00042737268273013455,0.2667446107661231,1
11,0.023084682668963855,0.0004510453446957748,0.2869215119792281,1
12,0.023019029233211686,0.0003577482448771568,0.29751179862935834,1
13,0.022965842531794997,0.0004948403470107835,0.2838850710414082,1
14,0.022911118375010496,0.0007319134224148791,0.27869159984952213,1
15,0.022813061124662606,0.0010197954164489977,0.29060395047961357,1
16,0.022657056867208297,0.0014095923118862983,0.30186357283754195,1
17,0.022473182521314528,0.0018144437620815396,0.29472764435102833,1
18,0.022360330734342636,0.0020214572986343776,0.26998045273248605,1
19,0.02238850055742681,0.002974862891741914,0.0,1
