step,loss,gradient_norm,update_norm,accepted
0,0.01330872703734576,0.023955446974065556,0.0,1
1,0.012988380434389614,0.02066014803996356,0.014373268184439335,1
2,0.012172555353005808,0.008758277775599432,0.05595352896070702,1
3,0.012014863136447488,0.003423877891816754,0.026277538012845485,1
4,0.012003012132497007,0.0,0.010518560530618514,1
5,0.012003012132497007,0.0,0.0,1
6,0.012003012132497007,0.0,0.0,1
7,0.012003012132497007,0.0,0.0,1
8,0.012003012132497007,0.0,0.0,1
9,0.012003012132497007,0.0,0.0,1
10,0.012003012132497007,0.0,0.0,1
