step,loss,gradient_norm,update_norm,accepted
0,0.01311681531383143,0.01935601393073296,0.0,1
1,0.012903888082696621,0.017338679743719526,0.011613608358439782,1
2,0.01213944324833755,0.007302932569228528,0.06266637376263953,1
3,0.012003012132497007,0.0,0.029602092869647698,1
4,0.012003012132497007,0.0,0.0,1
5,0.012003012132497007,0.0,0.0,1
6,0.012003012132497007,0.0,0.0,1
7,0.012003012132497007,0.0,0.0,1
8,0.012003012132497007,0.0,0.0,1
9,0.012003012132497007,0.0,0.0,1
10,0.012003012132497007,0.0,0.0,1
