split,candidate,family,bit_depth,mean_serialized_bits,mean_bits_per_output_pixel,mean_float_mad_vs_gt,mean_quantized_mad_vs_gt,mean_float_to_quantized_mad_delta,mean_quantized_psnr_vs_gt
development,mlp_small,mlp,8,536.0,0.130859375,0.048494623220483354,0.048520185248628056,2.5562028144698185e-05,22.834557028554002
development,mlp_small,mlp,12,708.0,0.1728515625,0.048494623220483354,0.04854476354571298,5.014032522962508e-05,22.83459756519222
development,mlp_small,mlp,16,880.0,0.21484375,0.048494623220483354,0.0485486604212508,5.40372007674407e-05,22.834410591785954
development,model_e_coupled,model_e_coupled,8,584.0,0.142578125,0.04893472525729042,0.04893472525729042,0.0,22.658237910334037
development,model_e_coupled,model_e_coupled,12,780.0,0.1904296875,0.04893472525729042,0.04893472525729042,0.0,22.658237910334037
development,model_e_coupled,model_e_coupled,16,976.0,0.23828125,0.04893472525729042,0.04893472525729042,0.0,22.658237910334037
development,model_e_single,model_e_single,8,448.0,0.109375,0.049300195443057165,0.04937631075421138,7.611531115422204e-05,22.67866513952847
development,model_e_single,model_e_single,12,576.0,0.140625,0.049300195443057165,0.04930119667216223,1.0012291050652544e-06,22.678999181439202
development,model_e_single,model_e_single,16,704.0,0.171875,0.049300195443057165,0.04930273528295154,2.53983989437212e-06,22.678987686174832
development,rff_small,rff,8,448.0,0.109375,0.048501567372989794,0.05016404694561412,0.0016624795726243244,22.622809031116468
development,rff_small,rff,12,576.0,0.140625,0.048501567372989794,0.05036465116629603,0.0018630837933062382,22.60753333350489
development,rff_small,rff,16,704.0,0.171875,0.048501567372989794,0.050361294957614836,0.0018597275846250448,22.60781924026294
development,siren_small,siren,8,528.0,0.12890625,0.04923207532004549,0.0490619307800605,-0.0001701445399849913,22.66285680974402
development,siren_small,siren,12,696.0,0.169921875,0.04923207532004549,0.04910375323685578,-0.00012832208318971222,22.660667169390564
development,siren_small,siren,16,864.0,0.2109375,0.04923207532004549,0.04909858491407727,-0.00013349040596821737,22.66090457102524
evaluation,mlp_small,mlp,8,536.0,0.130859375,0.08881077188634841,0.08905703496424447,0.0002462630778960681,17.863220086878197
evaluation,mlp_small,mlp,12,708.0,0.1728515625,0.08881077188634841,0.08900945885419972,0.00019868696785130951,17.86362080593386
evaluation,mlp_small,mlp,16,880.0,0.21484375,0.08881077188634841,0.08901468561634085,0.0002039137299924415,17.86349103120451
evaluation,model_e_coupled,model_e_coupled,8,584.0,0.142578125,0.0900951447066457,0.0900951447066457,0.0,17.756194292785743
evaluation,model_e_coupled,model_e_coupled,12,780.0,0.1904296875,0.0900951447066457,0.0900951447066457,0.0,17.756194292785743
evaluation,model_e_coupled,model_e_coupled,16,976.0,0.23828125,0.0900951447066457,0.0900951447066457,0.0,17.756194292785743
evaluation,model_e_single,model_e_single,8,448.0,0.109375,0.09007028673984013,0.09010606550136169,3.5778761521561286e-05,17.76720208304608
evaluation,model_e_single,model_e_single,12,576.0,0.140625,0.09007028673984013,0.09006086760613016,-9.419133709963334e-06,17.767117658080444
evaluation,model_e_single,model_e_single,16,704.0,0.171875,0.09007028673984013,0.0900591287024253,-1.1158037414832345e-05,17.76710575347922
evaluation,rff_small,rff,8,448.0,0.109375,0.0888280069089657,0.0938464972166452,0.005018490307679507,17.70922692229552
evaluation,rff_small,rff,12,576.0,0.140625,0.0888280069089657,0.09341956090620418,0.0045915539972384845,17.716226024333977
evaluation,rff_small,rff,16,704.0,0.171875,0.0888280069089657,0.09342680503764807,0.0045987981286823715,17.71607228791249
evaluation,siren_small,siren,8,528.0,0.12890625,0.0897410145504883,0.09066939726317558,0.0009283827126872687,17.73681937580976
evaluation,siren_small,siren,12,696.0,0.169921875,0.0897410145504883,0.09054619603448284,0.000805181483994534,17.737603562004566
evaluation,siren_small,siren,16,864.0,0.2109375,0.0897410145504883,0.09054289444925367,0.0008018798987653591,17.73789637747101
